Barcode #, Culture & replicate ,Culture & replicate 
1,UE3.76 R1G,US1.76.R1
2,UE3.152 R1G EA,US1.152R1
3,UE3.189 R1G,US1.189.R1
4,,US1.227R1
5,UE3.424 R1G,
6,,US1.455R1
7,,US1.485R1
8,UE3.515 R1G,US1.515R1
9,UE3.636 R1G,
10,UE3.682 R1G,US1.682R1
11,UE3.712 R1G,US1.712R1
12,UE3.758 R1G,US1.758R1
13,UE3.76 R2G,US1.76.R2
14,UE3.152 R2G,US1.152R2
15,UE3.189 R2G,
16,UE3.227 R2G,US1.227R2
17,UE3.424 R2G,
18,UE3.455 R2G,US1.455R2
19,UE3.485 R2G,US1.485R2
20,UE3.515 R2G,US1.515R2
21,UE3.636 R2G,
22,UE3.682 R2G,US1.682R2
23,UE3.712 R2G,US1.712R2
24,UE3.758 R2G,US1.758R2
25,UE3.76 R3G,US1.76.R3
26,UE3.152 R3G,US1.152R3
27,UE3.189 R3G,
28,UE3.227 R3G,US1.227R3
29,UE3.424 R3G,
30,UE3.455 R3G,US1.455R3
31,UE3.485 R3G,US1.485R1
32,UE3.515 R3G,US1.515R3
33,UE3.636 R3G,
34,UE3.682 R3G,US1.682R3
35,UE3.712 R3G,US1.712R3
36,UE3.758 R3G,US1.758R3
37,UE3.76 R1G,US1.76.R1
38,UE3.152 R1G EA,US1.152R1
39,UE3.189 R1G,US1.189.R1
40,UE3.227 R1G,US1.227R1
41,UE3.424 R1G,
42,UE3.455 R1G,US1.455R1
43,UE3.485 R1G,US1.485R1
44,UE3.515 R1G,US1.515R1
45,UE3.636 R1G,
46,UE3.682 R1G,US1.682R1
47,UE3.712 R1G,US1.712R1
48,UE3.758 R1G,US1.758R1
49,UE3.76 R2G,US1.76.R2
50,UE3.152 R2G,US1.152R2
51,UE3.189 R2G,US1.189.R2
52,UE3.227 R2G,US1.227R2
53,UE3.424 R2G,
54,UE3.455 R2G,US1.455R2
55,UE3.485 R2G,US1.485R2
56,UE3.515 R2G,US1.515R2
57,UE3.636 R2G,
58,UE3.682 R2G,US1.682R2
59,UE3.712 R2G,US1.712R2
60,UE3.758 R2G,US1.758R2
61,UE3.76 R3G,US1.76.R3
62,UE3.152 R3G,US1.152R3
63,UE3.189 R3G,US1.189.R3
64,UE3.227 R3G,US1.227R3
65,UE3.424 R3G,
66,UE3.455 R3G,US1.455R3
67,UE3.485 R3G,US1.485R1
68,UE3.515 R3G,US1.515R3
69,UE3.636 R3G,
70,UE3.682 R3G,US1.682R3
71,UE3.712 R3G,US1.712R3
72,UE3.758 R3G,US1.758 R3
73,UE3.152 R1G EB,
74,UE3.152 R1G EB ,
77,UE3.758 R3G EB,
